#{"t_start": 1694674190.3130488, "env_id": null}
r,l,t
-291.909563,5,620.215484
46.958566,149,620.341438
47.187454,149,621.049484
46.060467,149,621.76647
46.837087,149,622.470433
46.682019,149,623.173479
45.947917,149,623.877439
-90.194014,5,624.493485
47.282499,149,624.618434
48.982001,149,625.314436
46.6332,149,626.020445
46.53218,149,626.723444
46.618107,149,627.422438
46.70164,149,628.143445
47.105698,149,628.84944
46.450857,149,629.559444
47.782001,149,630.259491
47.138953,149,630.960515
45.858541,149,631.641442
47.722668,149,632.342491
47.919108,149,633.055449
46.404095,149,633.757482
-252.262563,149,634.559488
-291.41979,5,635.388449
47.738473,149,635.528495
46.546625,149,636.414484
46.667527,149,637.38049
46.472005,149,638.373498
46.892141,149,639.2365
47.118429,149,640.088492
47.325019,149,640.901489
47.074365,149,641.693502
47.875044,149,642.49349
45.970925,149,643.384492
46.137088,149,644.29664
46.911004,149,645.311641
46.222163,149,646.321652
46.306617,149,647.249642
46.032152,149,648.149642
46.618859,149,648.981644
46.692538,149,649.791645
46.179757,149,650.635646
-291.407548,5,651.333644
47.861284,149,651.482651
46.429965,149,652.362652
-53.149991,149,653.297652
47.097534,149,654.260686
48.474202,149,655.208689
47.86842,149,656.0337
46.961563,149,656.882693
46.176817,149,657.646698
-52.659002,149,658.376691
46.641716,149,659.074694
46.376494,149,659.803702
-52.960479,149,660.595687
46.456287,149,661.441691
46.96828,149,662.330705
47.667281,149,663.239665
45.819967,149,664.181693
47.08312,149,664.887695
47.062391,149,665.576695
46.520599,149,666.278707
46.743818,149,666.962695
47.200123,149,667.648708
46.81494,149,668.351706
-152.137613,149,669.053702
46.964625,149,669.7527
46.794512,149,670.452709
47.172259,149,671.148699
47.118283,149,671.846714
47.303986,149,672.547704
46.534816,149,673.278661
47.098715,149,673.984701
47.015696,149,674.681707
46.978687,149,675.371715
48.311763,149,676.049715
47.477949,149,676.783711
47.670359,149,677.527708
46.632292,149,678.23571
46.52946,149,678.944708
48.17781,149,679.644712
47.32532,149,680.368706
46.173337,149,681.067715
-252.540469,149,681.772709
47.762855,149,682.475716
47.792091,149,683.170712
46.829572,149,683.863719
46.91912,149,684.582713
46.850658,149,685.300712
45.354068,149,685.999712
-91.543929,5,686.579713
46.804413,149,686.705675
46.098419,149,687.400713
47.551473,149,688.114713
46.480779,149,688.809693
47.989661,149,689.527716
46.145322,149,690.224719
45.51883,149,690.920731
46.786639,149,691.611731
47.250846,149,692.315719
45.928428,149,693.141737
46.791838,149,693.855722
46.489596,149,694.567724
47.251113,149,695.479727
46.193511,149,696.352729
46.835889,149,697.16972
-154.171867,149,697.961737
46.179071,149,698.785723
47.26195,149,699.587727
-252.715167,149,700.396728
47.016743,149,701.290728
46.675243,149,702.147731
46.721326,149,703.054737
46.005826,149,703.965732
47.146457,149,704.901727
47.360224,149,705.723741
-291.247668,6,706.417698
46.565251,149,706.553728
46.515545,149,707.337732
46.808463,149,708.127739
46.923064,149,708.935741
47.396144,149,709.813745
46.353008,149,710.697733
47.048363,149,711.569741
47.013779,149,712.477733
-93.19758,3,713.262745
46.374026,149,713.398746
45.820013,149,714.242739
46.975684,149,715.063741
46.338484,149,715.838739
46.709506,149,716.631737
46.975467,149,717.40374
45.34145,149,718.202738
45.587423,149,719.080741
46.241482,149,719.957745
46.343756,149,720.885745
46.893011,149,721.79375
45.745565,149,722.654746
46.787892,149,723.47175
47.779493,149,724.279747
48.716704,149,725.089728
45.602955,149,725.867785
47.389633,149,726.669748
47.379637,149,727.554753
46.696379,149,728.465756
46.913396,149,729.402784
46.398769,149,730.284757
47.651841,149,731.234756
46.849408,149,732.053908
49.697176,149,732.884959
47.028578,149,733.69504
46.466637,149,734.559968
-155.115969,149,735.383038
-190.896228,6,736.169038
47.353144,149,736.322969
46.608429,149,737.22597
46.879013,149,738.151973
-52.473403,149,739.038972
46.239439,149,739.941972
46.570308,149,740.799973
45.708783,149,741.632974
46.711875,149,742.461967
47.649535,149,743.287048
46.461118,149,744.119049
46.85526,149,744.984977
47.441494,149,745.94097
-155.543183,149,746.856971
47.844173,149,747.753979
-291.580676,5,748.595973
46.321846,149,748.736974
47.101291,149,750.051485
46.353617,149,751.069565
47.197894,149,751.850562
46.099839,149,752.578564
45.496394,149,753.295487
47.778968,149,754.03458
45.907192,149,754.809573
47.18244,149,755.715587
47.975236,149,756.553498
47.854867,149,757.449499
47.384928,149,758.263572
46.730028,149,759.008568
46.334554,149,759.754569
-253.166638,149,760.582572
46.430488,149,761.37657
46.746375,149,762.228576
46.597443,149,763.072576
47.168271,149,764.020497
47.154814,149,764.821573
47.427177,149,765.653517
47.756092,149,766.445499
47.054215,149,767.238575
47.53227,149,768.020581
47.222342,149,768.812537
46.846442,149,769.740577
46.640785,149,770.566577
46.464879,149,771.343504
47.911401,149,772.132542
47.510909,149,772.89959
-93.460763,3,773.620584
46.856698,149,773.754506
46.50227,149,774.54158
47.874211,149,775.331507
-152.595615,149,776.066582
46.149947,149,776.790587
46.49122,149,777.631585
46.757036,149,778.35959
-252.313031,149,779.247592
47.132262,149,780.033588
46.494185,149,780.856591
46.109209,149,781.62359
46.078513,149,782.378513
46.577428,149,783.174594
46.375886,149,784.004636
47.169017,149,784.796705
-191.549264,5,785.451641
48.14684,149,785.579689
45.679682,149,786.499715
46.130788,149,787.464641
48.739955,149,788.385732
46.077351,149,789.327648
47.308648,149,790.235734
47.484598,149,790.980851
46.087372,149,791.715932
47.409335,149,792.520933
45.989142,149,793.350859
47.131546,149,794.277931
46.403414,149,795.20593
46.750492,149,796.017934
46.445073,149,796.891933
46.956238,149,797.766942
45.940927,149,798.590931
47.750549,149,799.396938
46.822139,149,800.236074
45.995541,149,800.958069
46.449191,149,801.753072
47.292149,149,802.620073
46.719463,149,803.531036
46.567942,149,804.442072
-154.924563,149,805.263052
45.89601,149,806.176089
46.389409,149,807.05204
47.150671,149,807.865085
47.7717,149,808.590081
46.399333,149,809.291075
-93.353981,3,809.902087
46.180941,149,810.025085
46.812132,149,810.86109
46.27706,149,811.757088
44.994915,149,812.617089
47.067132,149,813.32908
47.407172,149,814.050089
47.338143,149,814.77108
-253.682967,149,815.481081
47.170814,149,816.190096
46.837035,149,816.90028
46.73009,149,817.616293
47.189617,149,818.331284
47.737605,149,819.04128
47.430615,149,819.748279
47.717484,149,820.454293
-389.098382,7,821.067284
45.942882,149,821.20428
47.243666,149,821.942296
47.400327,149,822.646289
48.17066,149,823.360253
-252.123941,149,824.088332
47.241284,149,824.805331
46.779756,149,825.530342
47.952763,149,826.236345
46.687517,149,826.954332
46.070656,149,827.670256
47.725978,149,828.448332
46.581029,149,829.177331
47.665421,149,829.900334
47.362627,149,830.619332
-252.380273,149,831.337267
47.283186,149,832.053336
45.824439,149,832.771336
46.314029,149,833.481339
46.556455,149,834.211343
47.681234,149,834.958332
46.159121,149,835.707348
47.808109,149,836.453354
47.835918,149,837.17734
46.865869,149,837.890341
46.199747,149,838.623343
48.762438,149,839.331273
48.588543,149,840.046344
46.812459,149,840.758347
-253.451869,149,841.476344
46.410287,149,842.184345
48.155168,149,842.901348
47.35151,149,843.621355
48.62807,149,844.344356
-191.965272,6,844.95927
46.491767,149,845.091347
47.18288,149,845.80335
45.233548,149,846.52635
45.700914,149,847.23628
-192.101482,5,847.851273
48.641645,149,847.982274
47.109683,149,848.694348
47.688769,149,849.412354
47.490658,149,850.130275
46.969275,149,850.847355
48.713173,149,851.567361
47.047329,149,852.277353
46.039105,149,853.042354
47.047992,149,854.031357
45.339901,149,854.841349
45.958047,149,855.603357
47.037121,149,856.402352
46.21358,149,857.253358
46.927132,149,858.202361
46.09451,149,859.029361
45.81427,149,859.758353
46.081446,149,860.474359
-191.904134,5,861.088288
45.910415,149,861.214363
46.692439,149,861.93436
47.757573,149,862.651361
-52.659272,149,863.378369
46.806405,149,864.086367
46.72651,149,864.799287
46.037955,149,865.526295
46.666292,149,866.239289
46.838019,149,866.962365
46.339279,149,867.66837
-390.477253,7,868.286371
47.481217,149,868.426366
-53.33336,149,869.138372
48.602526,149,869.862374
47.178061,149,870.585367
-91.208964,6,871.203296
47.44497,149,871.3383
46.294576,149,872.050369
