#{"t_start": 1694684980.9117434, "env_id": null}
r,l,t
83.103677,149,514.572766
83.818338,149,515.319236
79.743583,149,516.043881
79.500896,149,516.792289
90.987218,149,517.642757
78.309953,149,518.414058
79.059831,149,519.22017
63.574031,149,520.15991
58.270429,149,520.983051
65.309363,149,521.93556
-541.377971,149,522.725317
66.022796,149,523.60058
55.265902,149,524.369643
78.318658,149,525.128392
57.397814,149,525.892514
-562.539686,69,526.588277
68.304898,149,527.020052
83.178119,149,527.774822
97.95346,149,528.4925
47.114727,149,529.231544
44.427535,149,529.937384
68.970661,149,530.663705
76.159545,149,531.378718
60.389936,149,532.095558
53.482501,149,532.858153
49.397708,149,533.588872
82.557239,149,534.317911
62.085333,149,535.036803
55.813631,149,535.785491
-1553.695592,99,536.505046
54.07477,149,537.018853
64.375567,149,537.74354
91.153216,149,538.45634
62.54534,149,539.2224
52.931812,112,539.957663
68.612439,149,540.528433
65.843533,149,541.245964
79.369399,123,541.965704
75.296426,149,542.561362
95.186571,149,543.320919
60.843753,149,544.031617
63.080319,149,544.750371
73.048769,149,545.458857
85.380311,149,546.179636
29.210982,28,546.798381
56.357715,92,546.976372
71.718321,149,547.463151
48.484825,87,548.148432
55.000801,149,548.645296
48.207553,149,549.412642
49.193105,149,550.197325
47.519005,149,550.904405
50.282521,115,551.668179
63.021573,149,552.247522
64.790932,149,552.994211
61.603186,149,553.749794
66.842765,149,554.474227
66.04825,149,555.190982
48.054614,149,555.948413
48.791381,149,556.676115
74.773345,149,557.39319
71.611988,149,558.105025
59.852061,149,558.857105
58.96148,149,559.565863
71.649336,149,560.32641
-43.550372,149,561.072316
56.331697,149,561.786987
79.528642,149,562.502711
81.786717,149,563.2138
56.547898,149,563.981439
72.306859,149,564.701358
72.384468,149,565.448911
58.101408,149,566.175621
71.805536,149,566.929213
68.173785,149,567.676909
55.890884,149,568.396444
61.58826,149,569.121402
64.892866,149,569.881721
62.549363,149,570.629451
88.930466,149,571.374822
64.157893,149,572.116723
48.976009,149,572.8793
100.769684,149,573.615598
55.805488,149,574.34969
-49.354119,122,575.079515
75.519644,149,575.700846
62.813101,149,576.457902
64.058226,149,577.197632
54.693975,149,577.959068
66.554576,149,578.706056
62.859683,149,579.441131
68.776421,149,580.187434
74.870416,149,580.920876
45.95206,149,581.646731
60.324212,149,582.378313
61.601001,149,583.090086
79.551452,149,583.809054
81.343657,149,584.535777
51.843454,149,585.277179
70.187385,149,586.013953
71.538179,149,586.774653
66.766002,149,587.513721
71.519735,149,588.233263
74.786408,149,588.963982
69.378778,149,589.685629
69.138587,149,590.409238
70.454302,149,591.153817
70.959517,149,591.880371
68.90884,149,592.613248
-35.846992,149,593.353408
56.919451,149,594.094278
62.021784,149,594.875851
62.57837,149,595.631361
85.137831,149,596.364052
74.310726,149,597.076789
55.411695,149,597.797302
64.32673,149,598.512039
76.98485,149,599.250048
75.014727,149,599.973771
67.79153,149,600.705716
52.01859,149,601.443173
-147.575563,135,602.184964
-67.740239,149,602.905704
83.267795,149,603.630363
72.533495,149,604.356403
63.05983,149,605.086078
71.389912,149,605.81635
72.25552,149,606.55124
53.476952,149,607.296663
77.981657,149,608.040448
66.584829,149,608.778215
104.165536,149,609.530592
100.982288,149,610.265327
74.584373,149,610.995108
64.347321,149,611.717896
28.667804,149,612.462193
76.483633,149,613.170851
75.063939,149,613.908868
101.221936,149,614.646713
67.425225,149,615.424311
103.256181,149,616.159056
47.413745,149,617.001554
53.622569,149,617.794968
76.46326,149,618.524819
86.078335,149,619.442229
38.044014,149,620.31587
68.104391,149,621.168623
66.650343,149,621.989687
56.141596,149,622.81675
67.705431,149,623.716694
64.143914,149,624.617656
79.673401,149,625.511201
